Date,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
2010-01-04,40.51247024536133,40.5922891700425,39.40387594876795,39.40387594876795,2008500,HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",2012-12-10,49071.0,1961.0
2010-01-05,40.49473190307617,40.93816961703152,40.1488510274968,40.610026655989714,1860700,HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",2012-12-10,49071.0,1961.0
2010-01-06,40.77851104736328,41.097786580474015,40.2197788644195,40.49471132530031,1686800,HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",2012-12-10,49071.0,1961.0
2010-01-07,42.67644500732422,43.18196373488677,41.01798889028853,41.01798889028853,3706600,HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",2012-12-10,49071.0,1961.0
2010-01-08,42.13544464111328,42.58775294541075,41.86051545924701,42.40150994159925,2412300,HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",2012-12-10,49071.0,1961.0
2010-01-11,41.6387939453125,42.33055556237248,41.42594239528449,42.10883674837524,2000900,HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",2012-12-10,49071.0,1961.0
2010-01-12,40.95588684082031,41.48801047547551,40.45923563415845,41.22194865814792,2392100,HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",2012-12-10,49071.0,1961.0
2010-01-13,41.70974349975586,41.80730032224509,40.19318757695262,41.00911459700372,2455800,HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",2012-12-10,49071.0,1961.0
2010-01-14,42.58774948120117,43.10213536176669,41.46141751908838,41.47028478290824,3433400,HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",2012-12-10,49071.0,1961.0
2010-01-15,43.02232360839844,43.44802677206867,42.20639987487957,42.69418066193203,2646200,HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",2012-12-10,49071.0,1961.0
2010-01-19,46.06429290771485,46.348092677882384,43.72294311225261,43.72294311225261,9567400,HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",2012-12-10,49071.0,1961.0
2010-01-20,45.4701042175293,46.70286053789804,44.60983395806565,46.69399327208848,10926100,HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",2012-12-10,49071.0,1961.0
2010-01-21,45.91354370117188,46.27716251023462,45.239516446270265,45.34594393904091,9071700,HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",2012-12-10,49071.0,1961.0
2010-01-22,45.23065948486328,46.631924677135736,45.07102159249902,45.851473134817375,3878400,HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",2012-12-10,49071.0,1961.0
2010-01-25,43.95353317260742,45.59425082895068,43.8116332854813,45.13307535000075,4585300,HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",2012-12-10,49071.0,1961.0
2010-01-26,42.80946731567383,44.06882850534218,42.65869676888847,43.98900960014063,3760600,HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",2012-12-10,49071.0,1961.0
2010-01-27,43.474609375,44.44130318181215,42.40149152411624,42.79171527448505,3232200,HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",2012-12-10,49071.0,1961.0
2010-01-28,43.27066421508789,44.53002602696516,42.95138843653812,43.68749347427263,3317800,HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",2012-12-10,49071.0,1961.0
